,precision,recall,f1-score,support
самолёт,0.29180327868852457,0.45408163265306123,0.35528942115768464,196.0
автомобиль,0.6571428571428571,0.11616161616161616,0.19742489270386265,198.0
птица,0.17532467532467533,0.4153846153846154,0.2465753424657534,195.0
кошка,0.24,0.12060301507537688,0.1605351170568562,199.0
олень,0.182648401826484,0.40404040404040403,0.25157232704402516,198.0
собака,0.352112676056338,0.13513513513513514,0.1953125,185.0
лягушка,0.34806629834254144,0.2916666666666667,0.31738035264483627,216.0
лошадь,0.54,0.13989637305699482,0.2222222222222222,193.0
корабль,0.3916913946587537,0.6082949308755761,0.47653429602888087,217.0
грузовик,0.6666666666666666,0.06896551724137931,0.125,203.0
accuracy,0.279,0.279,0.279,0.279
macro avg,0.3845456248706841,0.2754229906290826,0.2547846471324121,2000.0
weighted avg,0.38514697753694316,0.279,0.25746282796528247,2000.0
